input;target
Friday, 1888.07.20;20-07-1888
Sun 1940 10 13;13-10-1940
Friday, 10/12/1869;10-12-1869
Sunday, 20.08.1978;20-08-1978
Monday 03/04/2028;03-04-2028
Friday, 2025.02.21;21-02-2025
14/07/1990;14-07-1990
15-09-1879;15-09-1879
Mon. 26 July 1915;26-07-1915
Wed. 1937 Aug 18;18-08-1937
Tuesday 20.03.1855;20-03-1855
1831 May. 20;20-05-1831
Mon 30 Mar. 1936;30-03-1936
Fri. 06-09-1907;06-09-1907
Monday, 19 Nov 1877;19-11-1877
2016.12.05;05-12-2016
Saturday 2020 Feb 15;15-02-2020
Sunday 08/06/1924;08-06-1924
Tuesday, 1945.07.24;24-07-1945
Wednesday, 1950 February 15;15-02-1950
Friday, 1911.12.29;29-12-1911
Sat 1816 February 03;03-02-1816
Thursday 16 Oct 1986;16-10-1986
Sat. 25 12 2032;25-12-2032
Wednesday 2045/01/25;25-01-2045
Mon 1973.08.27;27-08-1973
1917 October 29;29-10-1917
Mon 06 Feb. 1922;06-02-1922
28 April 1898;28-04-1898
Friday, 17/02/1809;17-02-1809
Saturday 1945/05/12;12-05-1945
Tue 1952.09.30;30-09-1952
Friday 2046 Oct 26;26-10-2046
Monday, 1921/06/27;27-06-1921
1824.03.07;07-03-1824
Mon 29/08/1881;29-08-1881
Sat. 1928 Dec 29;29-12-1928
Thursday 1922 08 10;10-08-1922
Sun. 17-05-1936;17-05-1936
Monday, 1974 Aug. 19;19-08-1974
Tuesday 29/10/1878;29-10-1878
Tue 1871 Nov 21;21-11-1871
Saturday, 02 02 1957;02-02-1957
Tuesday 1929 October 15;15-10-1929
1896 Feb 10;10-02-1896
19 September 1875;19-09-1875
Wed 1921 December 07;07-12-1921
Sunday, 1948 02 01;01-02-1948
Tuesday 1850 Apr 09;09-04-1850
Tue 26 May 1914;26-05-1914
Wed. 1888 12 12;12-12-1888
07 09 2028;07-09-2028
1814 Oct. 27;27-10-1814
Friday 1862.03.14;14-03-1862
Tue 03/08/1920;03-08-1920
Sunday, 1812/12/27;27-12-1812
1969 Aug. 22;22-08-1969
Wednesday 24 04 2013;24-04-2013
Thu. 1819 Mar. 18;18-03-1819
Wed. 1811 Nov 27;27-11-1811
Tue 1874.12.22;22-12-1874
Saturday 17.09.1864;17-09-1864
Fri 1978.05.19;19-05-1978
Thu 1832 Oct 25;25-10-1832
Thursday 21.05.1801;21-05-1801
1982 August 29;29-08-1982
20-03-1946;20-03-1946
Thursday, 06 May 2027;06-05-2027
Saturday, 1817 Feb. 15;15-02-1817
Thu 1800.02.06;06-02-1800
1881.08.11;11-08-1881
Tuesday, 02/02/1813;02-02-1813
Friday 02/11/1945;02-11-1945
1899 Jan. 03;03-01-1899
1866 Feb 28;28-02-1866
Tuesday, 1841/05/25;25-05-1841
Sat 1825 Feb 19;19-02-1825
Sunday, 23 June 1844;23-06-1844
Saturday 21 07 1979;21-07-1979
Sunday 08/03/1953;08-03-1953
2038.03.25;25-03-2038
Monday, 2003 November 03;03-11-2003
Monday 28 12 1908;28-12-1908
Thu 14 Nov. 1963;14-11-1963
19 Sep 2002;19-09-2002
Sun. 20 Jan 1991;20-01-1991
Tuesday 05-10-1943;05-10-1943
Monday 16-08-1971;16-08-1971
1827 10 25;25-10-1827
Thu 21 01 1869;21-01-1869
19.05.1902;19-05-1902
05 Aug 2020;05-08-2020
Friday 1891 November 27;27-11-1891
Wednesday, 1910.04.13;13-04-1910
Sunday, 1944.04.30;30-04-1944
1900 Dec. 29;29-12-1900
Tue. 30 July 1912;30-07-1912
Monday, 08 02 1993;08-02-1993
Wednesday, 1934 Mar. 28;28-03-1934
Thu. 1806.11.13;13-11-1806
Saturday, 1869 Apr. 10;10-04-1869
Thursday 07-10-1948;07-10-1948
Tuesday 1867.08.13;13-08-1867
Sun 2029 Dec. 16;16-12-2029
Sunday 2029 April 29;29-04-2029
Saturday, 23-08-1997;23-08-1997
Thursday, 11 12 2042;11-12-2042
Monday, 1867 06 03;03-06-1867
Wednesday, 1840 Feb. 05;05-02-1840
1914 01 12;12-01-1914
Sat. 04/04/1925;04-04-1925
Thu. 13-03-2036;13-03-2036
Wednesday, 1844 07 10;10-07-1844
17-09-1807;17-09-1807
Tue 1934-04-17;17-04-1934
Friday 1818 11 13;13-11-1818
Wed. 2021.03.17;17-03-2021
Wednesday, 13 Jun 2001;13-06-2001
02 July 1843;02-07-1843
Thu. 19 Oct. 1950;19-10-1950
Tue 16 Dec 1879;16-12-1879
Wednesday, 1886-04-28;28-04-1886
02 Jul 1933;02-07-1933
Tue 07.08.2007;07-08-2007
Friday, 1889.02.01;01-02-1889
Sat 08/01/1910;08-01-1910
Wednesday, 1922 Feb. 01;01-02-1922
Tuesday 1800.06.17;17-06-1800
Saturday 1801/12/05;05-12-1801
Wednesday 28/05/1879;28-05-1879
Tuesday, 28-10-2003;28-10-2003
Wed. 11/09/1850;11-09-1850
Fri. 08-03-1918;08-03-1918
Thursday, 2043 Dec. 10;10-12-2043
Monday, 08 June 1953;08-06-1953
Sat. 2000/12/30;30-12-2000
Sun. 08 Feb. 1829;08-02-1829
Wed. 23 Sep 2026;23-09-2026
Fri 1994 February 25;25-02-1994
Thursday, 1964-02-27;27-02-1964
1937 November 25;25-11-1937
Thursday 09 08 2040;09-08-2040
Sun. 20 Mar. 2011;20-03-2011
Thursday, 1832-11-08;08-11-1832
Fri. 12 03 1920;12-03-1920
Wednesday, 1931-12-02;02-12-1931
Tuesday, 1835 Oct. 27;27-10-1835
Tuesday 1853.07.05;05-07-1853
20 Oct. 2038;20-10-2038
06/08/1829;06-08-1829
17 Sep 1896;17-09-1896
Thu. 09 January 1975;09-01-1975
Thursday, 21 Mar. 1867;21-03-1867
Sun. 1932 June 19;19-06-1932
Thu 2013 Nov. 14;14-11-2013
Thu 01 March 2035;01-03-2035
1962/02/20;20-02-1962
17 Jan 2014;17-01-2014
Sat 24 04 1841;24-04-1841
1881-02-05;05-02-1881
Thursday, 01.06.2034;01-06-2034
2038/10/15;15-10-2038
27 09 1915;27-09-1915
Fri 26/11/1830;26-11-1830
13 Sep. 1854;13-09-1854
Mon. 1941 Jan 20;20-01-1941
Tue. 12.12.2006;12-12-2006
Mon 02 May. 1842;02-05-1842
Tuesday 23-09-2036;23-09-2036
Wednesday, 11 10 2000;11-10-2000
1949 09 28;28-09-1949
1846 Jan. 26;26-01-1846
Friday 1846.09.18;18-09-1846
Sat. 1803 Dec 17;17-12-1803
19 Aug. 1920;19-08-1920
Sun 1815 Apr. 02;02-04-1815
Tuesday 15-01-2002;15-01-2002
Fri 1974 Jul 12;12-07-1974
Tue 1848 January 25;25-01-1848
02/03/2042;02-03-2042
13 August 1844;13-08-1844
Wed. 13 Aug. 2036;13-08-2036
Fri. 1969-10-03;03-10-1969
Thursday 2038 September 30;30-09-2038
Fri 04 Aug. 2006;04-08-2006
Mon. 1815 04 03;03-04-1815
1982/01/02;02-01-1982
07 October 2008;07-10-2008
Thu 1806/04/03;03-04-1806
Thu 24-05-1906;24-05-1906
Tuesday, 1895 Jul 02;02-07-1895
01 March 1882;01-03-1882
Thu. 1824-03-04;04-03-1824
Wednesday 10 Jun. 1812;10-06-1812
Tue 2022 Oct. 18;18-10-2022
Thursday, 26 August 1824;26-08-1824
Thu. 18/10/2035;18-10-2035
Tue. 1904 Aug 30;30-08-1904
Mon. 16/05/1960;16-05-1960
Monday 2039/06/20;20-06-2039
Tuesday, 1800/05/13;13-05-1800
Friday, 28/04/1865;28-04-1865
Mon 19 August 2013;19-08-2013
Wed. 1997 Sep 17;17-09-1997
Sat. 1906 Dec 22;22-12-1906
Thu. 2027 Sep 16;16-09-2027
Sun 30/08/1942;30-08-1942
09-08-1809;09-08-1809
Wednesday, 17 11 2032;17-11-2032
1958-05-06;06-05-1958
Thu. 05.09.1935;05-09-1935
11.10.1924;11-10-1924
Mon. 12 January 1807;12-01-1807
Saturday, 1988/11/19;19-11-1988
Sunday 1899 Aug. 20;20-08-1899
Fri. 1953 May 15;15-05-1953
Wednesday, 29 Jan 1958;29-01-1958
Wednesday, 1919-05-07;07-05-1919
Tue. 1881 Jul 19;19-07-1881
Monday, 1843 May. 08;08-05-1843
1823-12-19;19-12-1823
Monday, 1845 September 08;08-09-1845
Tuesday, 2015/04/28;28-04-2015
Tue 28.12.1802;28-12-1802
Tuesday, 2006 Jul 25;25-07-2006
Wed. 16 Jun 1993;16-06-1993
Thursday 31 Mar. 1808;31-03-1808
2044/03/24;24-03-2044
Tuesday, 27.07.2010;27-07-2010
Monday 2003 02 03;03-02-2003
07 Feb 1926;07-02-1926
01 Oct 1879;01-10-1879
Tue. 11 June 1867;11-06-1867
Tue. 04 May 2010;04-05-2010
Tue 29 Apr. 1806;29-04-1806
Wednesday, 09 February 1876;09-02-1876
Thursday 19 Jan 1922;19-01-1922
04 05 1909;04-05-1909
Fri. 05/08/1808;05-08-1808
25-04-1904;25-04-1904
1934-05-09;09-05-1934
2003 Jun 08;08-06-2003
Wednesday 06 June 1923;06-06-1923
Sat 19 Nov. 2044;19-11-2044
Monday 22-12-1986;22-12-1986
1895/12/14;14-12-1895
Thursday, 05 Apr. 1900;05-04-1900
Sunday, 10.09.1972;10-09-1972
Thursday 2012 Jun. 14;14-06-2012
Fri. 1993 June 25;25-06-1993
Sunday 11 Jan 1880;11-01-1880
Wed 09 Oct 2030;09-10-2030
20-09-1985;20-09-1985
Tuesday, 02 September 1986;02-09-1986
Thu 1809 June 29;29-06-1809
Thu. 1943-09-02;02-09-1943
Sat. 1880 04 17;17-04-1880
Tuesday 2039 March 22;22-03-2039
Sat 1950 February 25;25-02-1950
1876 06 13;13-06-1876
Mon. 1909 06 21;21-06-1909
Fri. 14 August 1874;14-08-1874
03 Jun 1913;03-06-1913
Saturday, 1864.08.06;06-08-1864
Fri 14 Jun. 1878;14-06-1878
Mon 2048 Dec 07;07-12-2048
Tuesday 04 04 1989;04-04-1989
1839-08-03;03-08-1839
Saturday 11 Jul. 1981;11-07-1981
1804 Jun. 17;17-06-1804
Monday 20 February 1939;20-02-1939
Friday 11 June 1897;11-06-1897
Friday, 1859 Apr. 15;15-04-1859
Thursday 1872 Feb 08;08-02-1872
1943-12-01;01-12-1943
Thursday 28 October 2021;28-10-2021
Thu 2002 Jul. 25;25-07-2002
Wed. 19 May. 2027;19-05-2027
Monday 1956.07.30;30-07-1956
Sunday, 08 January 1854;08-01-1854
1852-05-07;07-05-1852
01 Oct 1946;01-10-1946
Tue 1838 Jan 30;30-01-1838
Sun. 26 October 1947;26-10-1947
Thu. 19 08 1976;19-08-1976
Fri 23.10.1818;23-10-1818
Sat. 11-07-1885;11-07-1885
1996 February 06;06-02-1996
Monday 1927 01 24;24-01-1927
Sun 1877-12-23;23-12-1877
Sat 23 December 1911;23-12-1911
Mon 2002 Jan 07;07-01-2002
Wednesday, 11 December 1822;11-12-1822
Thu. 02/10/1817;02-10-1817
Tue 19.03.1929;19-03-1929
Thu. 16.08.1928;16-08-1928
Tuesday 20 04 2027;20-04-2027
Sat 31 March 1990;31-03-1990
Friday 1865-07-21;21-07-1865
Wed 1859-12-14;14-12-1859
Mon. 05 11 1900;05-11-1900
Wednesday 03-01-2029;03-01-2029
Sat. 24/07/1948;24-07-1948
Fri. 2010 Jun 18;18-06-2010
Monday 1803 Oct. 17;17-10-1803
Wednesday 01.02.1933;01-02-1933
Tuesday, 14 August 2035;14-08-2035
26.04.1886;26-04-1886
Sunday 24-11-1935;24-11-1935
07 June 1992;07-06-1992
Thu 05.12.2013;05-12-2013
Tue. 23/05/1916;23-05-1916
Thu 21 Jul 1825;21-07-1825
Monday, 1877-02-05;05-02-1877
Wed. 1868-11-04;04-11-1868
1842-12-04;04-12-1842
25/02/2046;25-02-2046
Fri. 1940 11 15;15-11-1940
29 Oct 2043;29-10-2043
03 May 1843;03-05-1843
Thursday 01-08-1946;01-08-1946
Tue. 1826/10/24;24-10-1826
Thu 15-06-1916;15-06-1916
Friday 08 Aug. 2014;08-08-2014
25 May. 1929;25-05-1929
Monday 03 07 1911;03-07-1911
Thu 07 Oct. 1915;07-10-1915
Sat. 28 Sep 1918;28-09-1918
Mon 1918 12 30;30-12-1918
Tuesday, 26-12-1854;26-12-1854
06-05-2006;06-05-2006
1945 February 20;20-02-1945
24-03-1915;24-03-1915
Tuesday, 29 November 2033;29-11-2033
Thursday 1963 May. 09;09-05-1963
Tue. 1890 Jul 29;29-07-1890
Mon. 1831/02/14;14-02-1831
Friday, 11/07/1919;11-07-1919
Wednesday 18-03-1970;18-03-1970
Sat. 08 Jun 1935;08-06-1935
Sunday 1821 03 25;25-03-1821
Thu 31 05 1832;31-05-1832
Sunday 22 02 1976;22-02-1976
Sun. 1915 February 28;28-02-1915
Sat. 1879 May. 17;17-05-1879
Friday 06 07 2040;06-07-2040
18 May 1814;18-05-1814
Wednesday 08 Aug. 2012;08-08-2012
Saturday 1959.03.14;14-03-1959
Wed 1821/10/24;24-10-1821
Sun. 18 Apr 2004;18-04-2004
Sun. 2009/08/30;30-08-2009
Fri 1985.10.11;11-10-1985
Saturday, 1996.09.21;21-09-1996
Sat 10 Mar. 1973;10-03-1973
Tuesday, 31/03/1863;31-03-1863
Friday 1982-01-29;29-01-1982
Saturday, 1936 02 22;22-02-1936
Sun. 1881 Feb. 06;06-02-1881
Friday 11 Oct. 1901;11-10-1901
Tue. 09 Apr 1974;09-04-1974
Fri. 1857 Feb 13;13-02-1857
Tue. 1913.04.29;29-04-1913
Sat 1970 Aug. 22;22-08-1970
Mon. 1911.08.07;07-08-1911
Friday, 25 April 1924;25-04-1924
Sun. 19 November 1922;19-11-1922
Wed 27.12.2045;27-12-2045
1954 Jul. 24;24-07-1954
Saturday 1935 Jun. 29;29-06-1935
1859 04 29;29-04-1859
Wed. 20 08 1873;20-08-1873
1803 Feb 12;12-02-1803
Sun. 1893 Jan. 22;22-01-1893
Wednesday, 1953/06/03;03-06-1953
08 July 2009;08-07-2009
Tue 25/02/1936;25-02-1936
2003 Jul. 01;01-07-2003
30-05-1956;30-05-1956
Wednesday 1872 September 04;04-09-1872
Monday 2033 May. 02;02-05-2033
Thursday 1822-05-30;30-05-1822
Monday 22 Jan. 1883;22-01-1883
Mon 13 01 1969;13-01-1969
Wed. 04 Nov 1925;04-11-1925
Sat 02-02-1918;02-02-1918
31.05.1928;31-05-1928
Sunday, 09/01/1921;09-01-1921
Friday 2026.10.23;23-10-2026
Sun 04-03-1877;04-03-1877
Sunday 1815 Feb. 26;26-02-1815
Thu 1844 Mar 28;28-03-1844
Thu 2034 September 21;21-09-2034
16 April 2004;16-04-2004
Tue 20-08-2013;20-08-2013
2019 Feb. 16;16-02-2019
Saturday 21/08/1830;21-08-1830
19 February 1824;19-02-1824
Thursday, 19 March 1891;19-03-1891
Wed. 24.01.1821;24-01-1821
Sunday, 2008 Feb. 03;03-02-2008
Thu. 1995 Aug 03;03-08-1995
Thu 1871/08/03;03-08-1871
Thu. 1861 10 10;10-10-1861
Wed 2003/09/10;10-09-2003
26 Jun. 1919;26-06-1919
Wednesday, 17.02.2021;17-02-2021
Tuesday, 2036.04.01;01-04-2036
2019.09.06;06-09-2019
Mon. 1854.07.17;17-07-1854
Friday 31 May 1946;31-05-1946
09 Feb 1872;09-02-1872
1937 July 20;20-07-1937
Mon 1900 11 26;26-11-1900
Mon. 1817 07 07;07-07-1817
1974 Jul 23;23-07-1974
1895/02/17;17-02-1895
Friday, 16.04.1915;16-04-1915
20 October 1817;20-10-1817
2033/07/24;24-07-2033
13 Jan. 1875;13-01-1875
Thursday, 1944/02/17;17-02-1944
Tuesday, 02-12-1856;02-12-1856
Friday 1924 Mar. 07;07-03-1924
Mon 14.06.1976;14-06-1976
Sat. 1964 10 03;03-10-1964
Mon 1849.03.05;05-03-1849
10/08/1874;10-08-1874
Monday 1951.10.22;22-10-1951
Sunday 2002 06 09;09-06-2002
Sat. 27.03.1802;27-03-1802
14/11/1979;14-11-1979
Thursday, 2000 July 20;20-07-2000
Tue 19 08 2014;19-08-2014
Tue 26/10/1926;26-10-1926
Tue 2016-04-12;12-04-2016
Sunday 03-12-1995;03-12-1995
Thu 1817 Oct. 30;30-10-1817
Friday, 1850-08-23;23-08-1850
Sunday 21-11-1841;21-11-1841
Tuesday, 2023.01.31;31-01-2023
Monday, 27 02 1984;27-02-1984
Mon 1840 Nov. 02;02-11-1840
Saturday 18 08 1855;18-08-1855
Thursday 07/09/1911;07-09-1911
Friday, 04 May 2035;04-05-2035
Tuesday, 14 May. 1946;14-05-1946
Sat. 2043.06.27;27-06-2043
1864/10/22;22-10-1864
Wednesday 2027 Nov 17;17-11-2027
Mon 1884-12-15;15-12-1884
1958/04/02;02-04-1958
07 Dec 1906;07-12-1906
Sun. 03.05.1998;03-05-1998
Saturday 1934/04/21;21-04-1934
Wed 10 07 1940;10-07-1940
16 Oct. 1868;16-10-1868
Fri. 1984 April 06;06-04-1984
22.12.1832;22-12-1832
Thursday, 1970.11.26;26-11-1970
Mon. 06 09 1869;06-09-1869
Saturday 1910 July 09;09-07-1910
Thu 1802/12/02;02-12-1802
Sunday 1894/07/15;15-07-1894
Tuesday, 1900.07.31;31-07-1900
Sunday 20 December 1970;20-12-1970
Fri. 18 Dec. 1891;18-12-1891
Tuesday 16-05-1865;16-05-1865
23-10-1845;23-10-1845
Wed 28 06 1843;28-06-1843
Wednesday 1881 August 10;10-08-1881
Friday 27 Aug. 1841;27-08-1841
Thu. 1840 December 24;24-12-1840
Sunday, 13 10 1974;13-10-1974
1953.09.02;02-09-1953
Wed. 04/06/1828;04-06-1828
Sunday, 20 Jul. 2008;20-07-2008
Thursday 1867-09-19;19-09-1867
Thursday 25 December 2025;25-12-2025
Monday, 2025 Oct. 27;27-10-2025
Wed. 2033/05/25;25-05-2033
1963.09.04;04-09-1963
Tue 11 Feb. 2042;11-02-2042
Sunday 14 March 1943;14-03-1943
Tuesday, 1898.03.22;22-03-1898
Thursday, 2041-06-20;20-06-2041
Tuesday 16/09/1834;16-09-1834
Thu 1963.10.17;17-10-1963
Tue 2037 Nov 10;10-11-2037
Wed. 15 12 1920;15-12-1920
Friday 1967 11 03;03-11-1967
Saturday, 1951-02-24;24-02-1951
Saturday 1924 Jul 12;12-07-1924
Sat. 1966.11.26;26-11-1966
Thu. 09 Jun 1842;09-06-1842
Friday 24 Mar 2023;24-03-2023
Wed 1801 February 18;18-02-1801
Wednesday, 02/12/1857;02-12-1857
26/12/1853;26-12-1853
Saturday 1923/08/25;25-08-1923
2048-06-28;28-06-2048
Saturday, 17-10-2020;17-10-2020
Mon. 1825 Nov. 07;07-11-1825
09 05 1851;09-05-1851
Wednesday, 1907 Apr. 03;03-04-1907
Monday, 02 March 1970;02-03-1970
05/12/2037;05-12-2037
Sat. 1921 March 26;26-03-1921
Monday 11-06-1928;11-06-1928
10-12-1987;10-12-1987
Wednesday 21 December 1864;21-12-1864
Tue. 07 May. 2030;07-05-2030
Wed. 03.04.1957;03-04-1957
Wednesday, 1946.01.23;23-01-1946
Monday, 21 Jan. 1828;21-01-1828
29/01/1883;29-01-1883
Mon 1989/12/25;25-12-1989
Thu 1843 September 21;21-09-1843
Wednesday, 02 Jun. 1819;02-06-1819
Sun. 30 May 1926;30-05-1926
Saturday 1813 11 13;13-11-1813
Thursday, 16 July 1807;16-07-1807
Wed 23/09/2048;23-09-2048
1989-01-28;28-01-1989
Thu. 21.01.1965;21-01-1965
Thu. 25/08/1955;25-08-1955
Sat 07 Nov 1998;07-11-1998
Fri. 28/05/1858;28-05-1858
Thu. 06/10/1898;06-10-1898
19/07/1909;19-07-1909
Thu 06-08-2048;06-08-2048
Friday, 1981.09.25;25-09-1981
23 May 2029;23-05-2029
Sat. 2001 Aug. 04;04-08-2001
Tuesday 21 November 1916;21-11-1916
Sunday, 1969 April 20;20-04-1969
Sat. 19/08/1933;19-08-1933
Thursday, 28-02-1839;28-02-1839
Friday 1897.04.16;16-04-1897
Sunday 1867-09-08;08-09-1867
Fri 1884 December 12;12-12-1884
Wednesday 04 Nov. 1857;04-11-1857
2008 Oct 15;15-10-2008
Saturday 1963/07/27;27-07-1963
Friday, 27 May 1910;27-05-1910
Sun. 13 02 1814;13-02-1814
Sun 22/01/1911;22-01-1911
1884 Sep. 02;02-09-1884
26 May 1855;26-05-1855
Mon 14 Nov 1864;14-11-1864
Tuesday, 18 Nov 2031;18-11-2031
Tue. 2000-10-10;10-10-2000
Sun 1895 Jan. 20;20-01-1895
1974 Jun 27;27-06-1974
Sunday, 1953 Aug 16;16-08-1953
Wednesday, 04-11-1992;04-11-1992
Sun. 1861 May. 19;19-05-1861
Thursday 06/03/1969;06-03-1969
Thursday, 1932 December 22;22-12-1932
Thursday 1824-07-15;15-07-1824
Thu. 22-08-2047;22-08-2047
Fri 2047 Aug. 02;02-08-2047
Friday 1948/07/30;30-07-1948
Monday, 1872-08-26;26-08-1872
Thursday 2023-12-14;14-12-2023
Wednesday, 1884 Feb. 20;20-02-1884
Sunday, 01-04-1860;01-04-1860
Tuesday, 1863 06 23;23-06-1863
03-05-1967;03-05-1967
Sat 09 12 1972;09-12-1972
Mon 1892-06-27;27-06-1892
Sun 12 Aug. 1923;12-08-1923
12 08 1895;12-08-1895
Thu. 1909 Jun 10;10-06-1909
Tue 1823 February 18;18-02-1823
Fri 1876 09 29;29-09-1876
Sun. 1831.11.06;06-11-1831
Mon. 10 July 2023;10-07-2023
Tuesday 1851 Feb 04;04-02-1851
1905 11 03;03-11-1905
Monday, 29-01-1855;29-01-1855
Thursday 1976 Aug. 05;05-08-1976
10-07-1875;10-07-1875
Tuesday 29/12/1840;29-12-1840
Mon 1901 Nov 18;18-11-1901
18/09/1866;18-09-1866
Thursday 1817 January 16;16-01-1817
Wed. 1819 Feb 24;24-02-1819
Sunday, 04 07 2038;04-07-2038
Monday, 1900/01/29;29-01-1900
Monday 08 Mar. 1824;08-03-1824
12.06.1824;12-06-1824
27 Mar 2023;27-03-2023
Friday, 1874 January 16;16-01-1874
08 May 2018;08-05-2018
Thu. 2026 Aug. 27;27-08-2026
16 12 1904;16-12-1904
Sat 1864 Sep. 03;03-09-1864
1951 May. 01;01-05-1951
Thu. 1813 October 07;07-10-1813
Fri 1987/10/02;02-10-1987
2034.12.03;03-12-2034
Sunday, 25.08.1907;25-08-1907
Thu. 12 Jul 1979;12-07-1979
Sunday, 1873/03/30;30-03-1873
Sunday 23-09-1900;23-09-1900
Sat. 23 Mar 1833;23-03-1833
Thu 2006 Nov 23;23-11-2006
2041 December 08;08-12-2041
Sun. 01/12/1839;01-12-1839
Sat. 1833 Jul. 27;27-07-1833
Sun. 10/10/1802;10-10-1802
Wed 1840/07/08;08-07-1840
Friday 1864-08-05;05-08-1864
Thu 1988 May 26;26-05-1988
Tue. 1871 09 19;19-09-1871
Thu. 1924 August 14;14-08-1924
Sun 2014.02.23;23-02-2014
Fri 18 04 1930;18-04-1930
1992 November 07;07-11-1992
1961.02.07;07-02-1961
Thursday, 07 05 1987;07-05-1987
13 May 1811;13-05-1811
Sat. 20 Apr. 1918;20-04-1918
Mon 01 Jan. 1883;01-01-1883
Friday, 12/01/1912;12-01-1912
23/08/2024;23-08-2024
1874 Apr. 03;03-04-1874
06/06/1939;06-06-1939
Fri 2036.10.10;10-10-2036
Fri 2049 Aug 20;20-08-2049
Sun. 20 June 1971;20-06-1971
Mon 1816 December 23;23-12-1816
Fri. 1978 03 31;31-03-1978
08 Feb 1981;08-02-1981
Friday, 22 03 1805;22-03-1805
2000 Jun 04;04-06-2000
15.06.2032;15-06-2032
1814 Jun. 15;15-06-1814
Monday, 18 Apr 1960;18-04-1960
Fri 1827 Jun. 15;15-06-1827
Tuesday 1969-12-16;16-12-1969
Friday, 20 02 2026;20-02-2026
Tuesday 15 Feb 1949;15-02-1949
1912.01.20;20-01-1912
18 January 2034;18-01-2034
1948 02 23;23-02-1948
Thursday, 1839 Jul. 18;18-07-1839
Wed. 1847 08 18;18-08-1847
Wed. 16 Jan. 2041;16-01-2041
Wednesday 1880.12.29;29-12-1880
Tuesday 2011 October 18;18-10-2011
Fri. 05 October 1923;05-10-1923
Mon. 2036/08/04;04-08-2036
Sunday 22-03-2009;22-03-2009
24-05-1998;24-05-1998
1842 Oct 26;26-10-1842
Sat 1811.07.06;06-07-1811
Tue. 23 Jul. 1872;23-07-1872
2005 Aug. 18;18-08-2005
Monday 1978 09 18;18-09-1978
Mon 05 May 1873;05-05-1873
25-09-1837;25-09-1837
Sunday 22/06/1913;22-06-1913
Mon 1950 June 19;19-06-1950
Sat 27/10/1945;27-10-1945
Sat. 1854 04 01;01-04-1854
17 Jan. 1955;17-01-1955
Thursday, 01 Sep. 1814;01-09-1814
Tuesday 07.08.1917;07-08-1917
Tuesday 1837 Jul 11;11-07-1837
Fri 1819/10/01;01-10-1819
Thu 13 12 2029;13-12-2029
14 09 1823;14-09-1823
Thursday, 21-03-2019;21-03-2019
Thursday, 29/09/2005;29-09-2005
Thursday 02 11 2023;02-11-2023
03.11.1922;03-11-1922
1875 Nov 08;08-11-1875
Tue. 2041/08/13;13-08-2041
Mon 1900 Apr. 16;16-04-1900
Wednesday 30-06-1841;30-06-1841
2031-12-01;01-12-2031
Tue 1944.01.18;18-01-1944
Wednesday, 1841/04/28;28-04-1841
05.09.1907;05-09-1907
Wed 09/03/1966;09-03-1966
Friday 1979/12/07;07-12-1979
Friday, 1800.08.29;29-08-1800
Sun 1835 Oct. 11;11-10-1835
Sat. 1936/08/15;15-08-1936
26/05/1952;26-05-1952
Sat 1870 12 31;31-12-1870
Fri 07.11.1997;07-11-1997
1885 05 25;25-05-1885
Friday, 21 October 1938;21-10-1938
1942-11-08;08-11-1942
Mon 22-07-1805;22-07-1805
Sat. 1983 05 21;21-05-1983
Tue. 25 Feb. 1840;25-02-1840
14 Sep 1938;14-09-1938
Wednesday 13 Jul. 2022;13-07-2022
Wednesday, 19/10/1803;19-10-1803
15 07 1810;15-07-1810
29 Sep 1901;29-09-1901
Wednesday, 08 January 1873;08-01-1873
02 Aug. 1919;02-08-1919
Monday 25 Apr. 2050;25-04-2050
Sunday 14 Apr 1889;14-04-1889
Thu 27.04.2006;27-04-2006
Thu 01/06/1848;01-06-1848
Saturday, 23 Apr. 1938;23-04-1938
Tue. 26.02.2030;26-02-2030
Thursday 15.03.1923;15-03-1923
Tue. 1908 Feb 18;18-02-1908
Wednesday 1938 September 21;21-09-1938
1816-05-01;01-05-1816
Monday 22 11 1847;22-11-1847
Friday 26-07-1811;26-07-1811
Thu 19-11-1807;19-11-1807
31 12 1869;31-12-1869
Sat 22.09.1951;22-09-1951
Monday 22.06.2009;22-06-2009
1839 08 05;05-08-1839
2002 Oct. 10;10-10-2002
24-09-1875;24-09-1875
Wednesday, 1805 April 03;03-04-1805
Wednesday, 11 Sep. 1861;11-09-1861
19 July 1987;19-07-1987
Fri. 08 09 1967;08-09-1967
Sunday 07 March 1852;07-03-1852
Sunday 1927.01.09;09-01-1927
Tuesday 1923/11/13;13-11-1923
Tuesday 30/10/2029;30-10-2029
Tue. 2016 Oct. 11;11-10-2016
Friday 1952/11/14;14-11-1952
Wed. 2020 Jul 01;01-07-2020
Sat. 27 03 1880;27-03-1880
Sun. 1919-11-30;30-11-1919
Saturday, 2028 September 23;23-09-2028
Fri. 2030 09 06;06-09-2030
Sun. 1857 April 19;19-04-1857
02-10-1993;02-10-1993
Mon. 1924 03 24;24-03-1924
Wednesday, 03-07-2047;03-07-2047
Sunday, 12 Oct. 1879;12-10-1879
31 May 2012;31-05-2012
Saturday 03.05.2036;03-05-2036
Sun 1938 Aug. 07;07-08-1938
Tue 01.11.1887;01-11-1887
Wed 11 07 1945;11-07-1945
Thu. 12 07 1821;12-07-1821
